name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,minutes,own_goals,penalties_saved,red_cards,saves,penalties_missed,selected,threat,total_points,value
Lukasz Fabianski,GK,West Ham,3.0567567567567564,0.0,0.2702702702702703,16.513513513513512,0.24324324324324326,0.0,455.0,7.837837837837837e-05,7.837837837837837e-05,0.0,0.8780108108108107,1.2432432432432432,0.0,81.64864864864865,0.0,0.02702702702702703,0.0,2.891891891891892,0.0,130941.72972972973,0.0,3.4054054054054053,49.7027027027027
Luke Ayling,DEF,Leeds,1.545945945945946,0.02702702702702703,0.10810810810810811,8.594594594594595,0.08108108108108109,5.6567567567567565,222.0,0.052018918918918924,0.11715405405405405,0.06756756756756757,0.9749972972972973,1.1891891891891893,0.05405405405405406,52.91891891891892,0.0,0.0,0.0,0.0,0.0,18764.756756756757,7.135135135135135,1.5945945945945945,45.0
Luke Shaw,DEF,Man Utd,3.8513513513513513,0.10810810810810811,0.5405405405405406,16.91891891891892,0.32432432432432434,13.405405405405405,332.0,0.059337297297297295,0.08022918918918918,0.024945945945945947,0.7882351351351351,0.9459459459459459,0.02702702702702703,68.97297297297297,0.0,0.0,0.0,0.0,0.0,1378337.3783783785,3.189189189189189,3.3513513513513513,50.189189189189186
Manuel Akanji,DEF,Man City,3.878125,0.03125,0.15625,14.375,0.21875,4.578125,610.0,0.0270728125,0.0472134375,0.020453125000000003,0.49558125,0.71875,0.0,71.375,0.0,0.0,0.0,0.0,0.0,246744.125,5.625,2.5625,50.0625
Marc Guéhi,DEF,Crystal Palace,2.3594594594594596,0.0,0.05405405405405406,16.513513513513512,0.24324324324324326,3.8567567567567567,167.0,0.018454594594594594,0.04646810810810811,0.028283783783783784,0.7646405405405405,1.2162162162162162,0.02702702702702703,87.56756756756756,0.02702702702702703,0.0,0.0,0.0,0.0,198612.5945945946,5.54054054054054,2.5135135135135136,44.13513513513514
Marc Roca Junqué,MID,Leeds,1.7027027027027026,0.08108108108108109,0.08108108108108109,9.64864864864865,0.05405405405405406,12.85945945945946,245.0,0.05910540540540541,0.07868108108108109,0.035521621621621625,0.8307864864864865,1.6216216216216217,0.02702702702702703,62.5945945945946,0.0,0.0,0.0,0.0,0.0,9185.243243243243,8.72972972972973,1.8108108108108107,48.45945945945946
Marcel Sabitzer,MID,Man Utd,2.4705882352941178,0.058823529411764705,0.0,5.764705882352941,0.29411764705882354,8.170588235294119,728.0,0.07058823529411765,0.09058823529411765,0.04352941176470588,0.6517647058823529,0.4117647058823529,0.0,36.588235294117645,0.0,0.0,0.0,0.0,0.0,9447.35294117647,4.9411764705882355,1.4705882352941178,47.76470588235294
Marcos Senesi,DEF,Bournemouth,1.4694444444444443,0.0,0.1388888888888889,12.5,0.1388888888888889,2.163888888888889,576.0,0.005809166666666667,0.03469805555555556,0.04,0.8250361111111111,1.5,0.05555555555555555,66.63888888888889,0.0,0.0,0.0,0.0,0.0,16856.583333333332,2.9722222222222223,1.8888888888888888,44.55555555555556
Marcus Rashford,MID,Man Utd,6.6,0.1891891891891892,0.5675675675675675,14.324324324324325,0.35135135135135137,11.905405405405405,335.0,0.04204297297297297,0.3197808108108108,0.2880081081081081,0.7649324324324325,1.027027027027027,0.4594594594594595,75.78378378378379,0.0,0.0,0.0,0.0,0.0,3627802.6486486485,34.810810810810814,5.486486486486487,69.10810810810811
Mario Lemina,MID,Wolves,1.4157894736842105,0.05263157894736842,0.0,9.578947368421053,0.2631578947368421,3.4210526315789473,698.0,0.024584736842105263,0.03783736842105263,0.01325263157894737,1.341557894736842,1.2105263157894737,0.0,63.526315789473685,0.0,0.0,0.05263157894736842,0.0,0.0,987.8947368421053,1.894736842105263,1.736842105263158,45.0
